Genre;Employee or Third Party;Critical Risk;Month;Cleaned_Description;Potential Accident Level Encoded;Positions;Actions;Tools_and_equipment
Male;Third Party;Electrical installation;February;moment operator jumbo try energize equipment proceed installation split set intersection remove lock open electric board 440v 400a lift thermomagnetic key make phase ground phase contact panel shell produce flash reach operator cause injury describe;5;Operator;Energize, Proceed, Install, Split, Remove, Open;Split set intersection, Electric board, Thermomagnetic key, Panel shell, Key
Male;Employee;Confined space;February;accumulation conveyor trailer filter 08fi0502 employee perform clean shutter air lance surprise fall product door pass neck collar aramid jacket cause burn neck shoulder;3;Employee;Perform, Clean;Air lance, Shutter, Trailer, Filter
Male;Employee;Liquid Metal;February;employee work thermal shock cause splash zinc direction employee despite indicate ppe hit small spatter pass facila hood small burn face region;4;Employee;indicate;zinc
Male;Third Party;Others;February;level circumstance Employee company perform task diamond drilling assistant injure prepare increase perforation pipe locate scaffold mr lift end tube support pulley equipment frame end work scaffold moment mr lift end pipe scaffold position frame upper pipe come pulley fall strike right hand Employee jhonatan bolt lateral frame cause injury describe;4;Employee, Assistant;Perform task, Injure, Prepare, Locate, Lift;Scaffold, Bolt, Diamond drilling, Pipe, Pulley, Frame
Female;Third Party;Others;February;overheat bar row cell spark produce project manage reach chief guard corridor produce degree burn neck;2;Chief guard;Manage, Reach, Produce;Bar
Male;Employee;Others;February;auxiliary wheel cathode crane g2133 change area bear heated hit hammer chisel end bear track detachment bearing piece occur impact thigh right leg produce cut ambulance call transfer clinic;2;Employee;bear, heated, hit, hammer chisel;auxiliary wheel, cathode crane, hammer, chisel, bearing piece
Male;Employee;Others;February;Employee make disconnection power cable gate intersection street cajamarquilla order remove it circumstance mr Employee company its remove rope tie body gate yield fall pull warn post hit helmet mr stand side;3;Employee;Remove rope tie, Make disconnection;Power cable, Rope
Male;Third Party;Others;February;operator open container subsequent loading silver concentrate open gate afterwards try open second door product open latter open impact handle safety lens generate injury leave cheekbone face operator;2;Operator;Open, Try;Container, Gate, Door, Handle
Male;Third Party;Others;February;chamber operator assistant remove drilling bar 71r drilling machine weight approx hold stroke assist jibs horizontally operator jib slide move drill bar cause assistant bar enforce assistant hand bar piston equipment;4;Operator, Assistant;Remove, Hold, Assist;Drilling bar, Drilling machine, Jib, Piston
Male;Third Party;Others;February;align right bracket tower release tension apply tirford tn push lever tension release point return mechanical effect overcome resistance lineman operator reshape hand assistant beat assistant frontal region;4;Operator, Assistant, Lineman;Align, Release, Apply, Push, Reshape, Beat;Bracket, Lever, Tirford TN
Male;Third Party (Remote);Others;February;loosen a30 truck steer cylinder bolt power cable socket force exert favor equipment bolt suddenly retire employee hit hand structure equipment cause injury;2;Employee;loosen steer cylinder bolt, force exert, hit hand;truck, steer cylinder, bolt, power cable, socket
Male;Third Party;Others;February;operator g deslaminadora section unlock sheet zinc stuck enter slide stack table require support mr helps hold sheet place entry chute slide moment release blade tilt brush mr left leg collaborator go nearby eyewash clean immediately medical center;2;Collaborator, Operator;Unlock, Enter, Slide, Hold, Release, Tilt;Sheet, Blade, Brush
Male;Employee;Manual Tools;February;operator willing manually displace zinc sheet adhere aluminum cathode moment blade detach blade release cathode bend graze collaborator right hand produce small cut knuckle finger Employee use glove leather Employee transfer medical unit aid;2;Collaborator, Operator;Manually displace, Adhere, Detach, Release, Bend, Graze;Zinc sheet, Aluminum cathode, Blade, Leather glove
Male;Employee;Others;February;end lunch enable place winche control room get short walk slip sit floor make contact leave knee take importance rest guard guard finish go safety communicate fact reason derive natclar attention;1;Employee;Get short walk slip, Sit floor, Make contact;Winche
Male;Third Party;Others;February;end rock break intersection ramp opening access ventilation chimney master loader identify rock mesh proceed unload they end decide verify remain position line fire time fragment rock fall 5x4x3 cm cocada mesh impact lens helmet cause injury;3;Master loader;Identify rock mesh;Mesh
Male;Employee;Others;February;Employee carry work level stop place metal mesh basket soil half scissor mesh fall hit right hand;4;Employee;carry, work level, place metal mesh, fall, hit;metal mesh, basket, soil, scissor
Male;Employee;Others;February;griff wrench unscrew rod probe key come press employee finger probe;3;Employee;unscrew, press, finger probe;griff wrench, probe, key
Male;Employee;Others;February;plant operator semikneele lift lid gate kg distributor box secondary mill no no right knee slip presence debris spill platform floor grating give extra effort leave leg generate muscle contracture;2;Operator;lift lid, give extra effort;gate, distributor box, secondary mill, platform, floor grating
Male;Employee;Others;February;level access times engineer trainee planamieto enter verify split set place scissor support hold notebook pen leave hand inspect roof work lose balance step rock hold right hand rock floor cause injury Employee time accident wear glove use difficult note;2;Engineer trainee;set, hold;scissor, notebook, pen, rock
Male;Third Party;Others;February;Employee work barretilla stop level unloading metal mesh basket ampoloader operator barretilla embed safety boot react immediately Employee remove limb force manage release foot produce wound right foot;4;Ampoloader operator;unload, embed;barretilla, metal mesh, basket
Male;Third Party;Others;February;approximately pm circumstance shotcrete launch nv ob2b finish launch mixkret assistant alpha mr ask operator mixkret mr mixkret access find cockpit mixkret operator team mr ask come down team start notice mr injure imprison team height leave rear rim hastial labor;5;Mixkret operator;launch, come down;Mixkret, shotcrete, cockpit
Male;Employee;Others;February;employee clearing pipe tap right thumb flange cause little trauma;2;Employee;clearing;pipe, tap, flange
Male;Third Party (Remote);Pressed;February;replace telescopic expansion joint hdpe pipe storm drainage pumping system report piece involuntarily move positioned holder press finger holder cause wound right chemo;3;Employee;Replace telescopic expansion joint;Telescopic expansion joint HDPE pipe
Male;Third Party;Others;February;withdrawal kelly bar conductive bar kg length diameter equipment perforation Employee position low tie bar injure position upper hold bar position bar platform lose control bar move 2nd finger right hand pulley frame time accident Employee wear safety glove drill rig block;4;Employee;withdrawal, hold, move;conductive bar, platform, pulley, frame, drill rig, block, safety glove
Male;Employee;Others;February;start activity remove coil electric cable warehouse help forklift truck operator notice beehive it movement coil bee excite realize fact operator turn equipment leave area people pass stung;5;forklift truck operator;start activity, remove, help;Electric cable, coil, forklift truck
Female;Third Party;Others;February;start activity remove coil electric cable warehouse help forklift truck operator notice beehive it movement coil bee excite realize fact operator turn equipment leave area people pass stung;5;forklift truck operator;start activity, remove, help;Electric cable, coil, forklift truck
Male;Employee;Others;February;preuse inspection jumbo check list equipment operator equipment find seat plastic bottle fill liquid apparently mineral water label labeling bottle small sip liquid expel immediately notice water immediately proceed wash water transfer medical center attention liquid contact esengrasante product equipment machinery low toxicity;4;Operator;preuse inspection, find, label;Jumbo, esengrasante product
Male;Employee;Others;February;maintenance flyght pump rotor oil pressure lubrication chamber cause chamber cover project employee face strike superficially forehead cause injury;4;Employee;maintenance, strike;pump, rotor, oil, pressure, lubrication, chamber, chamber cover
Male;Third Party (Remote);Pressurized Systems / Chemical Substances;February;approx leakage sulfur dioxide so2 section water seal blow overpressure acid plant moment collaborator cormei company eissa cosapi work near impact area evacuate medical center care return usual work;4;collaborator;work near impact area;dioxide so2
Male;Third Party;Others;February;perform cut mesh protrude gable work assistant loader position 40mt floor portable ladder hold base master loader time loader assistant lose balance fall hold mesh hand hang 80mt floor cause injury;3;Master loader, Assistant loader;cut, protrude, position, hold;mesh, portable ladder
Male;Employee;Pressed;March;operator center demag iv perform maintenance transport hydraulic cylinder help operator official unbalanced come cylinder carry press finger leave thumb pillar support oven specify figure;3;Operator;perform maintenance, transport, help, press;Hydraulic cylinder, oven
Male;Employee;Blocking and isolation of energies;March;start neutral leach process employee jhonatan proceed open air valve tank airlift circumstance process solution return chimney solution come contact arm right foot;3;Employee;open air valve, contact;air valve, tank, chimney
Male;Third Party;Others;March;time assistant carry bag cement weigh lamp loader suspend floor leave foot assistant slid hit edge baton;3;assistant;carry bag, suspend;cement, lamp, loader, baton
Male;Employee;Manual Tools;March;operator clean spatula spear window boiler time force action hit window frame cause injury little finger leave hand operator epp boiler cleaning;3;Operator;Clean spatula spear window boiler;Spatula spear window boiler
Male;Employee;Others;March;locomotive no operate maperu personnel direct wagon load ore op4 waste waste patrol car which go wagon moment pass change track leave rear wheel patrol car leave rail advance locomotive leave patrol car tilt ahead assistant motorist travel patrol car remain inside structure suffer minor bruise;4;assistant, motorist;operate, direct, load, patrol, pass;Locomotive, wagon
Male;Employee;Others;March;pit level radial drilling perform negative hole simba m4c ith no equipment assistant equipment operator change drill bit metal bar hammer release coupling rotation unit abruptly withdraw hand hit right hand team structure time accident team;3;Equipment assistant, Operator;Change drill bit, Release coupling;Metal bar hammer
Male;Third Party (Remote);Others;March;time Employee partner prepare oil cylinder gallon mobile platform mount rail platform weigh approximately kg derail leave rail order place platform rail Employee lift platform instant right hand trap rail platform structure hold metallic tube protrude platform accident cause bruise wound index finger right hand fracture time accident wear leathertype safety glove;4;partner;prepare, mount, weigh, derail;Oil, cylinder, gallon, platform, rail
Male;Third Party;Suspended Loads;March;operator feed bag big bag contain scrap sheet lift loaded bag release hook hoist make abrupt contact liquid zinc furnace generate explosion cause operator hit liquid zinc;4;Operator;feed, lift, release, make abrupt contact;Hoist, bag, scrap sheet, hook, liquid zinc, furnace
Male;Third Party;Others;March;circumstance Employee company incimmet loading explosive equipment anfoloader work sustain shotcreterepentinamente right superior crown piece rock approx kg 2mx015mx010 m impact basket helper basket suspend height moment later block rock detach wall gable approx kg 20mx110mx040 m impact ampoloader team block injure operator ampoloader team stand ground equipment anfoloader cabin protection rop fop time accident Employee helmet safety boot suffer polyontusion minor scoria injury;5;helper, operator;loading explosive;explosive equipment, anfoloader, rop, fop
Male;Third Party;Others;March;circumstance Employee company incimmet fectuaban loading explosive equipment anfoloader work sustain shotcreterepentinamente right superior crown piece rock approx kg 2mx015mx010 m impact basket helper basket suspend height moment later block rock detach wall gable approx kg 20mx110mx040 m impact ampoloader team block injure operator ampoloader team stand ground equipment anfoloader cabin protection rop fop time accident Employee helmet safety boot suffer polyontusion minor scoria injury;5;helper, operator;loading explosive;explosive equipment, anfoloader, rop, fop
Male;Third Party (Remote);Others;March;mechanic assistant throw wooden block support stabilizer hiab crane truck ground descend truck access ladder arrive step jump ground height 69 cm tread edge wooden block cause injury leave ankle;4;Mechanic;throw, support, descend, access, arrive, step, jump, tread, cause, leave;wooden block, stabilizer, hiab crane, truck, ladder
Male;Employee;Others;March;manually move steel cabinet disposal help employee operator finger press wall cabinet cause injury;4;Operator;move, help, press, cause;steel cabinet, wall cabinet
Male;Third Party (Remote);Chemical substances;March;discharge waste operator proceed remove bag roll circumstance end move direction face driver project liquid contain impacting ear face;3;operator, driver;discharge, proceed, remove, move, face, contain, impact;waste, bag, roll, liquid
Male;Employee;Others;March;circumstance operator go level level notice hydraulic pump inspection cover x32 approx fall stop equipment activate cat climb upper equipment moment accommodate cover slide middle finger cause injury;3;Operator;go, notice, inspect, fall, stop, activate, climb, accommodate, slide, cause;Hydraulic pump
Male;Third Party;Others;March;instal ripp pin tractor d6tn1 ripper support arm slide press second finger right hand base ripper cause injury describe;2;Employee;install, press;ripper, tractor
Male;Employee;Pressed;March;employee report lower cloth purification arrange cart grab pipe press left hand cloth cart;2;Employee;press;cloth, cart, pipe
Male;Third Party;Others;March;end loading explosive work front master loader enter verify mooring blast accessory retire m hear sound fragment rock rolling support mesh direct gaze crown vertical form point small fragment rock 2x3x2 cm 36gr pass opening mesh sustain impact forehead time event collaborator helmet safety lens support sacrifice mesh opening support mesh;2;master loader, collaborator;end, work, enter, verify, retire, hear, roll, support, direct, gaze, pass, sustain, impact, sacrifice;xplosive, mooring, blast accessory, support mesh, helmet, safety lens
Male;Employee;Manual Tools;March;employee perform adjustment tighten operation cutter blade work neglect key slip cause blade equipment hit he cause blunt cut right forearm;2;Employee;perform adjustment, tighten, neglect;key, cutter blade
Male;Third Party;Others;March;approximately be circumstance messrs truck crane culminate shipment block metal plate approximate weight mr cross rigger climb truck remove sling place foot stretcher support metal plate moment central stretcher break result foot imprison produce injury;4;rigger;culminate, climb, remove, place, support, break, imprison, produce;truck, crane, sling, stretcher, metal plate
Male;Employee;Others;March;placement support mesh cloth work moment ground injure collaborator reach electrowelded mesh operator scissor bolter position basket press mesh protruding end mesh cross leather glove cause injury right hand;3;Collaborator, Operator;placement, work, injure, reach, position, press, protrude, cause;support mesh, cloth, electrowelded mesh, scissor, bolter, basket, leather glove
Male;Employee;Chemical substances;March;employee check acid leakage shipping area hit splash solution right hemiface;4;Employee;check, hit, splash solution;acid solution
Male;Employee;Fall prevention (same level);March;employee clear liquid zinc pump oven step platform unbalanced twist leave foot;4;Employee;clear, leave, twist, foot;pump, oven, platform, liquid zinc
Male;Employee;Chemical substances;March;employee transit cadmium factory near tank copper sulphate acid solution spill direction reach leg cause minor burn;4;Employee;transit, reach, cause minor burn;cadmium, copper sulphate, acid solution, tank
Male;Employee;Others;March;carry activity cut electrowelded mesh work front assistant position foot end mesh leave end free moment assistant bend cut shear end free mesh return inertia hit partner safety len;2;assistant, partner;carry, cut, work, position, leave, bend, shear, return, hit;electrowelded mesh, safety lens
Male;Third Party;Others;March;refurbishment work hdpe pipe of diameter Employee Employee secure pipe chain stand basket ampoloader raise height ground pipe slip impact arm right cause injury radius right arm;4;Employee;refurbishment work, secure, stand, raise, slip, impact, cause injury;HDPE pipe, chain, basket, ampoloader
Male;Third Party;Others;March;circumstance dump truck laden ore enter unload backwards curve upper operator notice unevenness road approximately meter approach edge overturn truck right side operator travel truck use safety belt helmet glass time accident unloading process square accident site test alcohot operator negative;4;Operator;dump, enter, unload, notice, approach, overturn, travel, test;dump truck, safety belt, helmet, glass
Male;Third Party;Others;March;approximately pm level circumstance Employee company rock perform anchorage central pin anchor drill machine diamantina xrd bob cat assistant cristian injure adjustment nut central bolt stilson key no control panel movement rotation unit position clamp pin moment frame slid press thumb assistant leave hand stilson key cause describe injury lack secure frame fix bolt;4;Employee, assistant;perform, anchor, drill, injure, adjust, clamp, slide, press, leave, cause, describe, fix;rock, anchorage, pin, anchor, drill machine, diamantina, XRD, Bobcat, nut, central bolt, Stilson key, control panel, unit, frame
Male;Employee;Others;March;having carry mechanized support scissor heavy equipment operator pick water supply hose drum equipment and head cabin scissor way piece rock high approx displace slide right foot cause injury describe;3;Operator;carry, support, pick, displace, slide, cause, describe;mechanized scissor, heavy equipment, water supply hose, drum, equipment, head cabin, piece of rock
Male;Employee;Others;March;approximately supervise line clamp pom d071 return thickener d1304 hit nose metal chute operation;3;supervisor;supervise, return, hit, operate;line clamp, Pom D071, thickener D1304, metal chute
Male;Third Party (Remote);Pressed;March;employee perform truck unload operation iron bundle press right finger injure left arm;3;Employee;Unload operation, Perform truck unload operation;truck, iron bundle
Male;Third Party;Others;April;loading blow hole previous blast use telescopic ladder master loader pull ladder detach upper support point mt height fragment rock 3 cm 3 cm cm project right end ladder hit master loader cheekbone upper lip produce lesion describe master shipper safety glass;3;Master loader, Master shipper;Detach upper support point;Telescopic ladder
Male;Third Party;Others;April;plant stop schedule maintenance end change t fit hdp pipe diameter resident enter work zone supervise work moment Employee anchor harness upper manipulating accessory t tie flange hdp pipe pvc diameter suddenly pvc pipe come support pipe fine material tailing weight 700 kg fall height meter floor bounce imprison resident engineer injure Employee low line fire;5;Resident engineer;stop, schedule, change, enter, supervise, manipulate, tie, fall, bounce, imprison, injure;HDPE pipe, PVC pipe, flange, accessory, harness, work zone, support pipe, material tailing
Male;Employee;Others;April;parking equipment maintenance workshop mechanic ask operator equipment washing operator start reverse gear cab door fully open reach washing area meter behind brake cabin door close untimely hit face cause minor injury area mechanic floor level safe place;3;Mechanic, Operator;ask, start, reverse, open, reach, close, hit, cause;equipment, cab door, washing area, brake, cabin door
Male;Third Party (Remote);Others;April;circumstance Employee abratech company putty work inside conditioning tank meter deep cover platform metal grating grate upper part employee hyt company carry maneuver transfer pump help manual tick work hooked beam drag pump metal grating grate suddenly pump hooked metal grate grate try release it metal grid grate kg cm fall inside tank hit diagonal channel inside tank impact right arm Employee rub helmet second Employee crouch area bomb move marked tape lookout;5;Employee, Employee, second Employee;put, work, cover, carry, maneuver, transfer, help, hook, drag, try, release, rub, crouch, move, lookout;putty, conditioning tank, platform, metal grating, pump, manual tick, beam, metal grid, marked tape, helmet
Male;Third Party (Remote);Others;April;circumstance Employee abratech company putty work inside conditioning tank meter deep cover platform metal grating grate upper part employee hyt company carry maneuver transfer pump help manual tick work hooked beam drag pump metal grating grate suddenly pump hooked metal grate grate try release it metal grid grate kg cm fall inside tank hit diagonal channel inside tank impact right arm Employee rub helmet second Employee crouch area bomb move marked tape lookout;5;Employee, Employee, second Employee;put, work, cover, carry, maneuver, transfer, help, hook, drag, try, release, rub, crouch, move, lookout;putty, conditioning tank, platform, metal grating, pump, manual tick, beam, metal grid, marked tape, helmet
Male;Third Party;Others;March;access santa novo area order open chop general move ahead team order open access come area steep slope gravel presence certain place access employee slip come unbalanced moment machete leave hand come slip right leg knee cause cut 3 cm;2;Employee;access, order, open, move, come, slip, unbalanced, leave, cause, cut;machete, gravel
Male;Third Party;Poll;March;perform sleeve removal maneuver hole meter deep general press lock nut rod jack hold entire weight rod maneuver lock procedure effective weight rod secure steel wire rope probe winch moment driller release brake winch inefficacy lock chestnut aid monkey cause slide rod auxiliary prepared manual unlock rod hold faucet key firmly probe tower composition shift stem slide hand shift downward cause left hand strike base probe tower structure cause cut 4th 5th quirodactyl employee take hospital go medical care wound suture stitch remove day activity;4;Employee;perform, remove, maneuver, press, lock, hold, secure, probe, release, shift, slide, strike, cause, take, go, remove;sleeve, hole, nut, rod, jack, steel wire rope, winch, driller, chestnut aid, monkey (possibly a type of tool), faucet key, probe tower
Male;Third Party;Others;March;trip vehicle end work collaborator step object identify come pierce sole boot cause small hole sole left foot collaborator perforation possibly stump wood area cover collaborator pasture graze recently near residence;1;Collaborator;trip, step, identify, pierce, cause, cover, graze;vehicle, object, boot, sole, stump, wood
Male;Third Party;Others;March;workshop level box mechanic manipulate steel plate 60 cm x40 cm 5 cm place gutter workshop able remove scaler plate slide restrict right ring finger gable plate cause injury collaborator glove time accident;2;Collaborator, Mechanic;manipulate, place, remove, slide, restrict, cause;steel plate, gutter, scaler, glove
Male;Employee;Manual Tools;April;open suction valve bo acid pump cable pump come loose press 5th finger employee leave hand tubing cause fracture distal phalanx photo;4;Employee;open, press, leave, cause, fracture;suction valve, acid pump, cable, tubing
Male;Third Party;Fall prevention (same level);April;Employee carry disassembly scaffold body pulpomatic thickener d2251 dismantle base scaffold locate approximately meter high floor sump rivet anchor support platform break cause fall Employee impact right knee support anchor horizontal scaffold structure;3;Employee;carry, disassembly, dismantle, locate, cause fall, impact;scaffold, pulpomatic thickener, base scaffold, rivet anchor, support platform
Male;Third Party;Pressed;April;employee report handle air conditioning press 2nd right chirodactilo cause contusion;3;Employee;report, handle, press, cause contusion;air conditioning
Male;Third Party;Others;April;park van cluster wooden sleeper board driver descend step board iron nail protruded long identify board submerge puddle water accident cause minor wound sole left foot time accident Employee wear safety boot;2;driver, Employee;park, descend, identify, submerge in puddle, cause minor wound;wooden sleeper board, iron nail, safety boot, board
Male;Employee;Others;April;maintenance locomotive workshop level assistant pull locomotive chair backwards stumble ventilation grille fall platform locomotive floor workshop height 17 m generate injury time accident assistant safety helmet chin strap;4;assistant;pull, stumble, fall, generate;locomotive, chair, ventilation grille, platform, safety helmet, chin strap
Male;Third Party;Others;April;machine lift weight tn floor level accidently proceed pull machine key ton maximum cap lie floor advance horizontally anchor bolt pig tail type diameter key hooked break transversely pull force key project injure person leave shoulder cause injury injure meter key time incident assistant meter away order clean;4;assistant;lift, proceed, pull, advance, anchor, break, project, injure, leave, clean;machine, key, anchor bolt, pig tail (type), diameter key
Male;Employee;Others;April;position scissor bolter east stope meter top operator assistant verify ventilation sleeve obstruct support leave gable decide section sleeve direct main corridor injure person decide climb roof equipment cabin surface square meter carry reinstallation sectioned sleeve and noticing step fall equipment height meter time accident operator scissor bolter platform equipment position block perform maintenance assistant wear safety helmet chin strap;4;Operator;position, verify, obstruct, support, leave, decide, direct, injure, climb, carry, reinstallation, notice, fall, perform maintenance;scissor bolter, ventilation sleeve, equipment, cabin, platform, block, safety helmet, chin strap
Male;Employee;Pressurized Systems;April;clean vertical pipe hydrojet equipment high pressure hose hose return obstruction pipe residue reach operator actuate equipment pedal;3;Operator;clean, return, reach, actuate;vertical pipe, hydrojet equipment, high pressure hose, pedal
Male;Third Party;Others;April;bypass level Employee company operator bolter bolt team rolando assistant retire installing support helical bolt pink team mesh overhang gable teacher tell assistant cut mesh instant assistant finish cut mesh suddenly rise hit face cause injury describe;2;Operator, Assistant, Teacher, Operator bolter;bypass, install, retire, support, overhang, cut, finish, rise, hit, cause, describe;bolter, bolt, helical bolt, mesh
Male;Third Party;Others;April;be approximately luna master loader company incimet carry loading activity cruiser level moment tie pentacord crown trying reach fanel leave side lose balance movement ladder fall floor result accident;3;Master loader;carry, load, tie, try, reach, leave, lose balance, fall, result;cruiser, pentacord, ladder, fanel
Male;Third Party;Others;April;moment Employeemechanic workshop maintenance wire mining lamp hooked drill hole kg work table workshop fell m impact leave foot cause minor bruise time accident collaborator safety boot steel toecap;3;Employee, mechanic, collaborator;hook, drill, fell, work, impact, leave, cause;wire, mining lamp, drill, work table, safety boot, steel toecap
Male;Employee;Others;April;general store store attendant remove compartment rubber mesh material classification mx1 mx0 weight lift approx position edge mesh place floor litter slightly imprison index finger right hand assistant cause minor cutting wound time accident injure Employee leather glove;2;Assistant, Store attendant;remove, classify, lift, position, place, imprison, cause, injure;rubber mesh, material, mesh, floor, leather glove
Male;Employee;Cut;April;employee report attempting manually ingot rotary table ingot hit leave hand angle structure ingot press finger ingot angle;4;Employee;attempt, manually, hit, leave, press;ingot, rotary table, structure
Male;Third Party;Others;April;move roll electrowelde mesh weight place hopper truck operator pull roll mesh bring hopper truck time imprisonment leave hand operator mesh body hopper generate describe injury time accident operator wear pvctype safety glove;3;Operator;move, roll, place, pull, bring, generate, describe, leave;electrowelded mesh, hopper, truck, PVCTYPE safety glove
Male;Employee;Others;April;perform clean lhd block level operator surprise rock block displacement gallery reach right leg cause superficial injury;5;operator;perform clean, surprise rock, block displacement, reach, cause superficial injury;LHD, Load-Haul-Dump
Male;Third Party;Others;April;workshop end welding work small bolter equipment welder proceed clean inside metal stool impregnate thin flammable liquid help hammer screwdriver proceed remove oxide hit screwdriver hammer produce flash internal base stool produce slight burn right hand welder time accident welder use glove leave hand;2;Welder;proceed, clean, impregnate, help, remove, hit, produce, burn, leave;bolter, equipment, metal stool, thin flammable liquid, hammer, screwdriver, glove
Male;Employee;Others;April;pm approximately ob5 mr service instant pick cat position truck crane plate acl raise right hand low cat indexed index finger leave hand body cylinder valve cat valve turntable upper part;3;service personnel;position, raise, indexed, leave, turn;truck, crane, plate, cylinder, valve, turntable
Male;Third Party;Pressurized Systems / Chemical Substances;April;employee report place air lance tank open manual air valve projection acid solution heat reach left thigh;4;Employee;place, open, reach, report;air lance, tank, manual air valve, acid solution
Female;Third Party;Cut;April;injure woman perform clean cleaning sink collection room pierce finger fragment glass;2;Employee;perform clean, cleaning, collection, pierce, injure;sink, fragment glass
Male;Third Party (Remote);Chemical substances;April;discharge sodium hydroxide disconnect employee place demineralization suction pump turn off receive projection pump sensor cause 1st degree burn;3;Employee;disconnect, place, turn off, receive projection, cause 1st degree burn;demineralization suction pump, pump sensor, sodium hydroxide
Male;Third Party;Others;April;mr operator concrete throwing team alpha shoot shotcrete work nv ob1 apply m3 realize additive come mix direct lift cover passage valve inch thickness approximately kg verify valve open release lid hit finger leave hand base cause injury;4;Operator;throw, shoot, apply, realize, come, mix, direct, lift, cover, verify, open, release, hit, leave, cause;shotcrete, valve, lid
Male;Employee;Pressed;April;employee perform return load entrance debark machine try align cathode press right hand;4;Employee;perform return load, debark machine, try align, press;cathode, machine
Male;Employee;Others;April;injure Employee begin work present support mesh cloth floor make initial cut mesh section ponchos originate remain mesh wick tip prong protrude try second mesh cut position edge remain mesh wick prevent curl point try shear remove right foot mesh cause mesh roll embed wick tip pole leave boot cause injury time accident Employee wear safety boot;2;Employee;begin work, present, support, make initial cut, try second, try shear remove, remove, detect, prevent, cause injury;cloth, mesh, ponchos, wick tip, prong, pole, shear
Male;Third Party;Others;April;ddh chamber company explomin locate level socorro ramp Employee assistant drillerwas dismantle fifth drill nq meter steel weight kg stilson key no moment operator operate rotation unit drill rotate press left hand Employee base holder cause injury leave hand time accident drill assistant rubber glove;4;Employee, assistant, operator, driller;locate, dismantle, operate, rotate, press, cause, leave;hamber, steel, stilson key, drill, base holder, rubber glove
