Potential Accident Level Encoded,Genre_Female,Genre_Male,Employee or Third Party_Employee,Employee or Third Party_Third Party,Employee or Third Party_Third Party (Remote),"Critical Risk_
Not applicable",Critical Risk_Bees,Critical Risk_Blocking and isolation of energies,Critical Risk_Burn,Critical Risk_Chemical substances,Critical Risk_Confined space,Critical Risk_Cut,Critical Risk_Electrical Shock,Critical Risk_Electrical installation,Critical Risk_Fall,Critical Risk_Fall prevention,Critical Risk_Fall prevention (same level),Critical Risk_Individual protection equipment,Critical Risk_Liquid Metal,Critical Risk_Machine Protection,Critical Risk_Manual Tools,Critical Risk_Others,Critical Risk_Plates,Critical Risk_Poll,Critical Risk_Power lock,Critical Risk_Pressed,Critical Risk_Pressurized Systems,Critical Risk_Pressurized Systems / Chemical Substances,Critical Risk_Projection,Critical Risk_Projection of fragments,Critical Risk_Projection/Burning,Critical Risk_Projection/Choco,Critical Risk_Projection/Manual Tools,Critical Risk_Suspended Loads,Critical Risk_Traffic,Critical Risk_Vehicles and Mobile Equipment,Critical Risk_Venomous Animals,Critical Risk_remains of choco,Month_April,Month_August,Month_December,Month_February,Month_January,Month_July,Month_June,Month_March,Month_May,Month_November,Month_October,Month_September,Cleaned_Description
3,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,instal segment polyurethane pulley protective lyner 60x4x5 cm weigh head pulley ore winch pulley rotate compress lyner inside channel fall housing rub right worker hip generating injury describe
4,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,prepare rice lunch day move pot weight include content evacuate residual water cooking rice positioning pot jaba tilt backwards spill hot water cook leg cook immediately event apply aid pour cold water area ​​the injury medical post evaluation
1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,collaborator report work ustulación realize cyclone duct obstruct open door try unclog material detach project employee cause small burn right heel
5,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,moment operator jumbo try energize equipment proceed installation split set intersection remove lock open electric board 440v 400a lift thermomagnetic key make phase ground phase contact panel shell produce flash reach operator cause injury describe
3,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,accumulation conveyor trailer filter 08fi0502 employee perform clean shutter air lance surprise fall product door pass neck collar aramid jacket cause burn neck shoulder
4,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,employee work thermal shock cause splash zinc direction employee despite indicate ppe hit small spatter pass facila hood small burn face region
4,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,level circumstance worker company perform task diamond drilling assistant injure prepare increase perforation pipe locate scaffold mr lift end tube support pulley equipment frame end work scaffold moment mr lift end pipe scaffold position frame upper pipe come pulley fall strike right hand worker jhonatan bolt lateral frame cause injury describe
2,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,overheat bar row cell spark produce project manage reach chief guard corridor produce degree burn neck
2,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,auxiliary wheel cathode crane g2133 change area bear heated hit hammer chisel end bear track detachment bearing piece occur impact thigh right leg produce cut ambulance call transfer clinic
3,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,worker make disconnection power cable gate intersection street cajamarquilla order remove it circumstance mr worker company its remove rope tie body gate yield fall pull warn post hit helmet mr stand side
2,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,operator open container subsequent loading silver concentrate open gate afterwards try open second door product open latter open impact handle safety lens generate injury leave cheekbone face operator
4,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,chamber operator assistant remove drilling bar 71r drilling machine weight approx hold stroke assist jibs horizontally operator jib slide move drill bar cause assistant bar enforce assistant hand bar piston equipment
4,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,align right bracket tower release tension apply tirford tn push lever tension release point return mechanical effect overcome resistance lineman operator reshape hand assistant beat assistant frontal region
2,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,loosen a30 truck steer cylinder bolt power cable socket force exert favor equipment bolt suddenly retire employee hit hand structure equipment cause injury
2,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,operator g deslaminadora section unlock sheet zinc stuck enter slide stack table require support mr helps hold sheet place entry chute slide moment release blade tilt brush mr left leg collaborator go nearby eyewash clean immediately medical center
2,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,operator willing manually displace zinc sheet adhere aluminum cathode moment blade detach blade release cathode bend graze collaborator right hand produce small cut knuckle finger worker use glove leather worker transfer medical unit aid
1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,end lunch enable place winche control room get short walk slip sit floor make contact leave knee take importance rest guard guard finish go safety communicate fact reason derive natclar attention
3,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,end rock break intersection ramp opening access ventilation chimney master loader identify rock mesh proceed unload they end decide verify remain position line fire time fragment rock fall 5x4x3 cm cocada mesh impact lens helmet cause injury
4,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,worker carry work level stop place metal mesh basket soil half scissor mesh fall hit right hand
3,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,griff wrench unscrew rod probe key come press employee finger probe
2,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,plant operator semikneele lift lid gate kg distributor box secondary mill no no right knee slip presence debris spill platform floor grating give extra effort leave leg generate muscle contracture
2,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,level access times engineer trainee planamieto enter verify split set place scissor support hold notebook pen leave hand inspect roof work lose balance step rock hold right hand rock floor cause injury worker time accident wear glove use difficult note
4,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,worker work barretilla stop level unloading metal mesh basket ampoloader operator barretilla embed safety boot react immediately worker remove limb force manage release foot produce wound right foot
5,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,approximately pm circumstance shotcrete launch nv ob2b finish launch mixkret assistant alpha mr ask operator mixkret mr mixkret access find cockpit mixkret operator team mr ask come down team start notice mr injure imprison team height leave rear rim hastial labor
2,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,employee clearing pipe tap right thumb flange cause little trauma
3,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,replace telescopic expansion joint hdpe pipe storm drainage pumping system report piece involuntarily move positioned holder press finger holder cause wound right chemo
4,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,withdrawal kelly bar conductive bar kg length diameter equipment perforation worker position low tie bar injure position upper hold bar position bar platform lose control bar move 2nd finger right hand pulley frame time accident worker wear safety glove drill rig block
5,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,start activity remove coil electric cable warehouse help forklift truck operator notice beehive it movement coil bee excite realize fact operator turn equipment leave area people pass stung
5,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,start activity remove coil electric cable warehouse help forklift truck operator notice beehive it movement coil bee excite realize fact operator turn equipment leave area people pass stung
4,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,preuse inspection jumbo check list equipment operator equipment find seat plastic bottle fill liquid apparently mineral water label labeling bottle small sip liquid expel immediately notice water immediately proceed wash water transfer medical center attention liquid contact esengrasante product equipment machinery low toxicity
4,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,maintenance flyght pump rotor oil pressure lubrication chamber cause chamber cover project employee face strike superficially forehead cause injury
4,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,approx leakage sulfur dioxide so2 section water seal blow overpressure acid plant moment collaborator cormei company eissa cosapi work near impact area evacuate medical center care return usual work
3,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,perform cut mesh protrude gable work assistant loader position 40mt floor portable ladder hold base master loader time loader assistant lose balance fall hold mesh hand hang 80mt floor cause injury
3,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,operator center demag iv perform maintenance transport hydraulic cylinder help operator official unbalanced come cylinder carry press finger leave thumb pillar support oven specify figure
3,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,start neutral leach process employee jhonatan proceed open air valve tank airlift circumstance process solution return chimney solution come contact arm right foot
3,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,time assistant carry bag cement weigh lamp loader suspend floor leave foot assistant slid hit edge baton
3,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,operator clean spatula spear window boiler time force action hit window frame cause injury little finger leave hand operator epp boiler cleaning
4,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,locomotive no operate maperu personnel direct wagon load ore op4 waste waste patrol car which go wagon moment pass change track leave rear wheel patrol car leave rail advance locomotive leave patrol car tilt ahead assistant motorist travel patrol car remain inside structure suffer minor bruise
3,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,pit level radial drilling perform negative hole simba m4c ith no equipment assistant equipment operator change drill bit metal bar hammer release coupling rotation unit abruptly withdraw hand hit right hand team structure time accident team
4,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,time worker partner prepare oil cylinder gallon mobile platform mount rail platform weigh approximately kg derail leave rail order place platform rail worker lift platform instant right hand trap rail platform structure hold metallic tube protrude platform accident cause bruise wound index finger right hand fracture time accident wear leathertype safety glove
4,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,operator feed bag big bag contain scrap sheet lift loaded bag release hook hoist make abrupt contact liquid zinc furnace generate explosion cause operator hit liquid zinc
5,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,circumstance worker company incimmet loading explosive equipment anfoloader work sustain shotcreterepentinamente right superior crown piece rock approx kg 2mx015mx010 m impact basket helper basket suspend height moment later block rock detach wall gable approx kg 20mx110mx040 m impact ampoloader team block injure operator ampoloader team stand ground equipment anfoloader cabin protection rop fop time accident worker helmet safety boot suffer polyontusion minor scoria injury
5,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,circumstance worker company incimmet fectuaban loading explosive equipment anfoloader work sustain shotcreterepentinamente right superior crown piece rock approx kg 2mx015mx010 m impact basket helper basket suspend height moment later block rock detach wall gable approx kg 20mx110mx040 m impact ampoloader team block injure operator ampoloader team stand ground equipment anfoloader cabin protection rop fop time accident worker helmet safety boot suffer polyontusion minor scoria injury
4,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,mechanic assistant throw wooden block support stabilizer hiab crane truck ground descend truck access ladder arrive step jump ground height 69 cm tread edge wooden block cause injury leave ankle
4,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,manually move steel cabinet disposal help employee operator finger press wall cabinet cause injury
3,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,discharge waste operator proceed remove bag roll circumstance end move direction face driver project liquid contain impacting ear face
3,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,circumstance operator go level level notice hydraulic pump inspection cover x32 approx fall stop equipment activate cat climb upper equipment moment accommodate cover slide middle finger cause injury
2,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,instal ripp pin tractor d6tn1 ripper support arm slide press second finger right hand base ripper cause injury describe
2,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,employee report lower cloth purification arrange cart grab pipe press left hand cloth cart
2,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,end loading explosive work front master loader enter verify mooring blast accessory retire m hear sound fragment rock rolling support mesh direct gaze crown vertical form point small fragment rock 2x3x2 cm 36gr pass opening mesh sustain impact forehead time event collaborator helmet safety lens support sacrifice mesh opening support mesh
2,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,employee perform adjustment tighten operation cutter blade work neglect key slip cause blade equipment hit he cause blunt cut right forearm
4,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,approximately be circumstance messrs truck crane culminate shipment block metal plate approximate weight mr cross rigger climb truck remove sling place foot stretcher support metal plate moment central stretcher break result foot imprison produce injury
3,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,placement support mesh cloth work moment ground injure collaborator reach electrowelded mesh operator scissor bolter position basket press mesh protruding end mesh cross leather glove cause injury right hand
4,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,employee check acid leakage shipping area hit splash solution right hemiface
4,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,employee clear liquid zinc pump oven step platform unbalanced twist leave foot
4,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,employee transit cadmium factory near tank copper sulphate acid solution spill direction reach leg cause minor burn
2,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,carry activity cut electrowelded mesh work front assistant position foot end mesh leave end free moment assistant bend cut shear end free mesh return inertia hit partner safety len
4,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,refurbishment work hdpe pipe of diameter worker worker secure pipe chain stand basket ampoloader raise height ground pipe slip impact arm right cause injury radius right arm
4,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,circumstance dump truck laden ore enter unload backwards curve upper operator notice unevenness road approximately meter approach edge overturn truck right side operator travel truck use safety belt helmet glass time accident unloading process square accident site test alcohot operator negative
4,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,approximately pm level circumstance worker company rock perform anchorage central pin anchor drill machine diamantina xrd bob cat assistant cristian injure adjustment nut central bolt stilson key no control panel movement rotation unit position clamp pin moment frame slid press thumb assistant leave hand stilson key cause describe injury lack secure frame fix bolt
3,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,having carry mechanized support scissor heavy equipment operator pick water supply hose drum equipment and head cabin scissor way piece rock high approx displace slide right foot cause injury describe
3,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,approximately supervise line clamp pom d071 return thickener d1304 hit nose metal chute operation
3,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,employee perform truck unload operation iron bundle press right finger injure left arm
3,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,loading blow hole previous blast use telescopic ladder master loader pull ladder detach upper support point mt height fragment rock 3 cm 3 cm cm project right end ladder hit master loader cheekbone upper lip produce lesion describe master shipper safety glass
5,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,plant stop schedule maintenance end change t fit hdp pipe diameter resident enter work zone supervise work moment worker anchor harness upper manipulating accessory t tie flange hdp pipe pvc diameter suddenly pvc pipe come support pipe fine material tailing weight 700 kg fall height meter floor bounce imprison resident engineer injure worker low line fire
